Source IP,Destination IP,Timestamp,Label,Average Packet Size,Bwd Packets/s,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Flow Packets/s
150.230.187.202,10.56.24.79,2025-10-26T13:50:44.202819,1,69.0,2.243591181789219,0,0,0,2,4,0,0,0,2.243591181789219
10.56.24.79,150.230.187.202,2025-10-26T13:50:44.203277,1,82.0,0.0,0,0,0,2,2,0,0,0,1.5474067397300548
10.56.24.79,142.250.205.14,2025-10-26T13:50:44.296736,1,71.0,0.0,0,0,0,0,0,0,0,0,2.260476176841572
142.250.205.14,10.56.24.79,2025-10-26T13:50:44.301979,1,68.0,2.260711249902036,0,0,0,0,0,0,0,0,2.260711249902036
169.254.168.24,224.0.0.251,2025-10-26T13:50:44.470959,1,82.0,0.0,0,0,0,0,0,0,0,0,1.9837799538374405
169.254.168.24,239.255.255.250,2025-10-26T13:50:44.498519,1,559.1428571428571,0.0,0,0,0,0,0,0,0,0,1.110120636809602
10.56.10.32,239.255.255.250,2025-10-26T13:50:44.645004,1,167.0,0.0,0,0,0,0,0,0,0,0,0.6649958645569672
10.56.22.160,224.0.0.251,2025-10-26T13:50:44.652788,1,103.0,0.0,0,0,0,0,0,0,0,0,1.0
10.56.10.32,224.0.0.251,2025-10-26T13:50:44.660438,1,87.0,0.0,0,0,0,0,0,0,0,0,0.6666898896978245
10.56.24.79,142.250.183.138,2025-10-26T13:50:44.674639,1,71.0,0.0,0,0,0,0,0,0,0,0,1.0
142.250.183.138,10.56.24.79,2025-10-26T13:50:44.680929,1,67.0,1.0,0,0,0,0,0,0,0,0,1.0
10.56.24.74,10.56.255.255,2025-10-26T13:50:44.697497,1,249.0,0.0,0,0,0,0,0,0,0,0,1.0
10.56.14.57,10.56.255.255,2025-10-26T13:50:44.721914,1,92.0,0.0,0,0,0,0,0,0,0,0,1.9812049688620619
10.56.17.132,224.0.0.251,2025-10-26T13:50:44.835678,1,87.0,0.0,0,0,0,0,0,0,0,0,0.7742914587909181
10.56.17.132,239.255.255.250,2025-10-26T13:50:44.835905,1,167.0,0.0,0,0,0,0,0,0,0,0,0.7594108085927839
172.217.24.14,10.56.24.79,2025-10-26T13:50:44.858681,1,954.0,0.9501088349670455,0,0,0,0,0,0,0,0,0.9501088349670455
10.56.24.79,104.18.26.48,2025-10-26T13:50:45.035145,1,55.0,0.0,0,0,0,0,1,0,0,0,1.0
104.18.26.48,10.56.24.79,2025-10-26T13:50:45.038170,1,66.0,1.0,0,0,0,0,1,0,0,0,1.0
172.64.148.235,10.56.24.79,2025-10-26T13:50:45.077168,1,69.0,2.0,0,0,0,1,2,0,0,0,2.0
10.56.24.79,172.64.148.235,2025-10-26T13:50:45.077695,1,82.0,0.0,0,0,0,1,1,0,0,0,1.0
10.56.24.51,224.0.0.251,2025-10-26T13:50:45.341232,1,249.0,0.0,0,0,0,0,0,0,0,0,1.5001766993840917
10.56.23.141,224.0.0.251,2025-10-26T13:50:45.463526,1,103.0,0.0,0,0,0,0,0,0,0,0,1.0
172.67.75.39,10.56.24.79,2025-10-26T13:50:45.484119,1,631.4166666666666,11.373717613339096,0,0,0,8,12,0,0,0,11.373717613339096
10.56.24.79,172.67.75.39,2025-10-26T13:50:45.484283,1,96.66666666666667,0.0,0,0,0,5,12,0,0,0,11.374493835024342
10.56.24.79,35.186.224.24,2025-10-26T13:50:45.587360,1,88.8,0.0,0,0,0,0,0,0,0,0,5.0
35.186.224.24,10.56.24.79,2025-10-26T13:50:45.664194,1,82.0,5.0,0,0,0,0,0,0,0,0,5.0
10.56.24.79,142.250.192.100,2025-10-26T13:50:46.548094,1,71.0,0.0,0,0,0,0,0,0,0,0,1.0
142.250.192.100,10.56.24.79,2025-10-26T13:50:46.596124,1,68.0,1.0,0,0,0,0,0,0,0,0,1.0
10.56.24.79,142.251.222.202,2025-10-26T13:50:46.610472,1,71.0,0.0,0,0,0,0,0,0,0,0,1.0
142.251.222.202,10.56.24.79,2025-10-26T13:50:46.618681,1,67.0,1.0,0,0,0,0,0,0,0,0,1.0
3.232.201.64,10.56.24.79,2025-10-26T13:50:46.639040,1,72.75,4.0,1,0,0,2,4,0,0,0,4.0
10.56.24.79,3.232.201.64,2025-10-26T13:50:46.639197,1,54.0,0.0,1,0,0,0,2,0,0,0,2.0
10.56.24.79,10.56.255.255,2025-10-26T13:50:46.781915,1,86.0,0.0,0,0,0,0,0,0,0,0,1.0
142.250.77.110,10.56.24.79,2025-10-26T13:50:46.942016,1,267.0,1.0,0,0,0,0,0,0,0,0,1.0
10.56.24.79,10.101.1.10,2025-10-26T13:50:47.033500,1,80.3,2.4965030233899865,0,0,0,0,0,0,0,0,2.4965030233899865
10.101.1.10,10.56.24.79,2025-10-26T13:50:47.048980,1,210.1,0.0,0,0,0,0,0,0,0,0,2.5051844792798694
10.56.24.79,104.26.11.240,2025-10-26T13:50:47.059173,1,216.94117647058823,0.0,1,1,0,6,16,0,0,0,17.0
104.26.11.240,10.56.24.79,2025-10-26T13:50:47.064176,1,693.7,20.0,1,1,0,13,20,0,0,0,20.0
10.56.24.79,150.171.22.17,2025-10-26T13:50:47.086490,1,275.85714285714283,0.0,1,2,0,6,19,0,0,0,15.936799207713412
150.171.22.17,10.56.24.79,2025-10-26T13:50:47.091329,1,553.3793103448276,22.91300091572993,1,2,0,7,29,0,0,0,22.91300091572993
10.56.24.79,104.26.11.240,2025-10-26T13:50:47.134962,1,448.93333333333334,0.0,0,0,0,0,0,0,0,0,13.43292804696868
104.26.11.240,10.56.24.79,2025-10-26T13:50:47.143788,1,543.8333333333334,9.641639025069601,0,0,0,0,0,0,0,0,9.641639025069601
10.56.24.79,18.97.36.77,2025-10-26T13:50:47.174152,1,134.33333333333334,0.0,0,0,0,1,3,0,0,0,2.9234437777909874
10.56.24.79,205.174.165.80,2025-10-26T13:50:47.219308,1,54.5,0.0,1,0,0,0,2,0,0,0,1.8200713831996493
10.56.24.79,40.126.17.133,2025-10-26T13:50:47.255619,1,434.6,0.0,0,1,0,4,14,0,0,0,15.0
40.126.17.133,10.56.24.79,2025-10-26T13:50:47.259659,1,1096.375,16.0,0,1,0,4,16,0,0,0,16.0
18.97.36.77,10.56.24.79,2025-10-26T13:50:47.426220,1,99.33333333333333,3.0,0,0,0,1,3,0,0,0,3.0
10.56.24.79,52.139.252.32,2025-10-26T13:50:47.859144,1,281.5,0.0,0,1,0,1,7,0,0,0,2.5366699421417294
52.139.252.32,10.56.24.79,2025-10-26T13:50:47.910552,1,879.6,3.27106426365563,0,1,0,5,10,0,0,0,3.27106426365563
10.56.24.79,10.101.1.10,2025-10-26T13:50:47.913513,1,61.833333333333336,12.0,2,2,0,4,10,0,0,0,12.0
10.101.1.10,10.56.24.79,2025-10-26T13:50:47.916717,1,74.3,0.0,2,2,0,2,10,0,0,0,10.0
10.56.24.79,142.251.223.227,2025-10-26T13:50:47.921243,1,737.2857142857143,0.0,0,0,0,0,0,0,0,0,14.0
142.251.223.227,10.56.24.79,2025-10-26T13:50:47.944312,1,621.625,13.87042709356759,0,0,0,0,0,0,0,0,13.87042709356759
10.56.24.79,23.36.4.12,2025-10-26T13:50:48.200288,1,395.0,0.0,0,0,0,1,1,0,0,0,1.0
10.56.24.79,13.107.213.58,2025-10-26T13:50:48.574033,1,55.0,0.0,0,0,0,0,1,0,0,0,1.0
13.107.213.58,10.56.24.79,2025-10-26T13:50:48.577683,1,66.0,1.0,0,0,0,0,1,0,0,0,1.0
10.56.24.54,224.0.0.251,2025-10-26T13:50:48.803283,1,75.0,0.0,0,0,0,0,0,0,0,0,1.0
10.56.24.50,224.0.0.251,2025-10-26T13:50:49.400777,1,87.0,0.0,0,0,0,0,0,0,0,0,1.0
10.56.24.79,185.125.190.58,2025-10-26T13:50:49.498674,1,90.0,0.0,0,0,0,0,0,0,0,0,1.0
10.56.205.249,224.0.0.251,2025-10-26T13:50:49.688735,1,87.0,0.0,0,0,0,0,0,0,0,0,1.0
185.125.190.58,10.56.24.79,2025-10-26T13:50:49.756204,1,90.0,1.0,0,0,0,0,0,0,0,0,1.0
10.56.24.79,104.18.27.48,2025-10-26T13:50:49.965672,1,55.0,0.0,0,0,0,0,1,0,0,0,1.0
104.18.27.48,10.56.24.79,2025-10-26T13:50:49.968495,1,66.0,1.0,0,0,0,0,1,0,0,0,1.0
10.56.24.50,239.255.255.250,2025-10-26T13:50:50.037785,1,167.0,0.0,0,0,0,0,0,0,0,0,1.0
10.56.205.249,239.255.255.250,2025-10-26T13:50:50.994896,1,167.0,0.0,0,0,0,0,0,0,0,0,1.0
10.56.24.79,20.207.73.85,2025-10-26T13:50:51.042159,1,74.0,0.0,0,1,0,0,0,0,0,0,1.0
20.207.73.85,10.56.24.79,2025-10-26T13:50:51.067279,1,74.0,1.0,0,1,0,0,1,0,0,0,1.0
